,CD8,FE2,CE3,CE6,CF1,FF3,FF4,CF5,FG3,CH1,FH2,CH3,CI2,CI3,CJ2,CJ3,FJ5,FJ6,CP1,FP3,FP4,CT2,CT3,FT4,FT5,FT6
TRINITY_DN13938_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN13939_c0_g1,13,7,10,4,7,2,0,6,4,6,2,7,6,5,2,1,2,0,13,8,6,8,1,1,5,0
TRINITY_DN1393_c0_g1,7,2,10,4,9,3,2,3,1,6,6,5,13,4,1,4,2,0,5,2,2,4,4,3,4,2
TRINITY_DN13940_c0_g1,8,10,12,10,2,6,2,5,5,7,7,4,6,6,4,3,6,6,3,17,14,5,5,7,4,9
TRINITY_DN13941_c0_g1,15,15,2,10,5,14,12,8,18,4,7,4,5,12,4,8,14,7,3,12,12,8,6,11,29,12
TRINITY_DN13942_c0_g1,13,31,23,20,2,0,0,0,2,2,1,4,2,3,1,6,1,0,2,0,1,10,8,16,25,28
TRINITY_DN13943_c0_g1,5,10,6,7,4,4,3,8,4,4,10,4,8,11,0,5,15,1,6,10,5,2,6,6,8,8
TRINITY_DN13944_c0_g1,9,6,5,3,6,2,1,14,1,4,0,5,2,16,3,3,4,1,3,0,1,2,2,1,4,2
TRINITY_DN13945_c0_g1,23,19,5,3,1,23,34,17,3,2,9,6,2,1,0,3,17,22,2,18,16,11,1,5,9,2
TRINITY_DN13946_c0_g1,9,20,4,1,6,3,7,9,7,2,5,8,8,9,2,0,7,2,8,8,12,4,7,1,7,7
TRINITY_DN13947_c0_g1,13,13,1,3,2,5,1,5,4,3,4,7,3,7,2,1,5,6,3,4,7,4,5,4,5,3
TRINITY_DN13949_c0_g1,11,2,2,5,6,4,1,5,1,2,3,5,4,6,2,4,0,4,4,8,6,3,3,2,5,3
TRINITY_DN1394_c0_g1,31,83,23,24,39,49,48,30,33,17,48,27,33,30,16,14,46,32,29,41,44,17,15,37,56,40
TRINITY_DN13950_c0_g1,3,2,4,1,2,0,0,1,1,1,0,2,0,1,5,0,1,1,0,0,5,2,1,0,2,2
TRINITY_DN13951_c0_g1,5,4,3,0,1,2,0,1,2,2,1,2,2,0,4,1,2,3,1,1,3,4,2,7,2,2
TRINITY_DN13953_c0_g1,2,2,1,0,5,0,0,4,0,1,1,0,6,9,4,2,0,0,1,3,3,0,4,2,0,1
TRINITY_DN13954_c0_g1,10,7,3,4,3,6,5,9,5,1,6,2,2,6,2,1,2,2,3,5,3,10,1,4,1,3
TRINITY_DN13955_c0_g1,0,22,0,133,18,16,0,25,0,0,0,0,0,0,0,3,9,9,9,23,0,0,0,0,0,0
TRINITY_DN13956_c0_g1,59,70,51,21,50,38,54,52,62,28,34,50,51,71,42,33,65,47,40,65,68,30,42,63,68,57
TRINITY_DN13957_c0_g1,6,1,5,3,5,0,3,13,2,1,1,3,12,13,3,2,1,2,4,1,0,3,12,3,7,6
TRINITY_DN13958_c0_g1,11,27,5,5,9,20,30,9,13,6,16,8,13,7,8,4,22,8,4,20,14,9,2,21,17,8
TRINITY_DN13959_c0_g1,1,5,4,2,2,3,2,0,3,1,1,3,1,0,1,5,6,5,2,6,7,3,2,6,2,4
TRINITY_DN1395_c0_g1,40,56,17,12,19,32,36,18,33,12,27,25,34,24,26,23,34,31,31,31,39,13,9,39,42,41
TRINITY_DN13960_c0_g1,1,0,1,0,3,0,0,12,0,0,1,6,6,8,2,2,1,0,1,1,5,6,0,2,0,0
TRINITY_DN13961_c0_g1,1,2,0,2,0,0,0,3,1,3,1,3,1,2,4,0,0,0,0,0,1,0,0,0,0,2
TRINITY_DN13962_c0_g1,35,17,39,26,42,19,20,39,11,37,17,61,53,84,31,22,20,11,37,25,20,27,25,14,21,19
TRINITY_DN13963_c0_g1,1,2,0,0,0,3,2,0,7,0,2,1,0,4,2,1,0,2,0,3,2,2,2,0,4,4
TRINITY_DN13964_c0_g1,8,1,1,6,11,1,0,11,0,7,1,4,11,2,5,6,1,1,4,1,0,4,2,0,3,0
TRINITY_DN13965_c0_g1,8,64,7,2,6,50,53,8,52,5,37,6,5,6,6,4,19,15,3,25,42,4,2,13,12,13
TRINITY_DN13966_c0_g1,7,3,7,4,2,2,4,7,11,1,1,2,3,5,2,0,2,0,2,2,0,1,2,2,9,12
TRINITY_DN13967_c0_g1,9,11,9,8,11,5,3,5,6,6,4,3,3,3,5,5,8,8,11,13,16,0,0,3,5,4
TRINITY_DN13968_c0_g1,5,3,5,2,2,0,1,7,6,2,8,6,5,5,4,2,6,2,2,4,6,7,1,5,6,10
TRINITY_DN13969_c0_g1,16,17,8,5,16,6,7,17,9,8,8,3,13,14,5,7,20,10,12,10,19,9,8,16,11,13
TRINITY_DN1396_c0_g1,64,54,37,33,49,37,32,50,28,38,20,48,63,49,36,34,42,29,36,42,41,27,32,41,54,52
TRINITY_DN13970_c0_g1,11,45,17,11,15,48,52,20,20,6,21,7,26,19,10,8,41,15,18,30,32,8,4,14,34,13
TRINITY_DN13971_c0_g1,1,6,8,1,2,4,4,4,7,1,1,3,1,5,2,1,3,5,7,5,9,2,2,5,7,0
TRINITY_DN13972_c0_g1,0,2,2,0,0,0,0,0,5,0,2,2,0,3,2,0,1,5,1,1,4,0,0,2,4,4
TRINITY_DN13973_c0_g1,8,8,7,2,3,4,3,0,1,4,18,6,2,7,4,3,7,8,2,9,12,3,5,6,9,9
TRINITY_DN13974_c0_g1,45,10,14,20,57,14,26,73,12,7,4,12,94,68,1,13,2,3,6,0,2,36,26,5,11,10
TRINITY_DN13975_c0_g1,49,13,32,27,47,7,9,81,5,33,11,36,53,42,19,23,7,2,36,18,25,28,22,7,8,15
TRINITY_DN13976_c0_g1,13,11,10,5,9,4,5,16,7,5,7,13,23,13,11,10,15,2,9,8,4,8,3,8,13,8
TRINITY_DN13977_c0_g1,13,4,3,3,16,9,6,20,3,11,5,9,2,7,3,5,10,6,6,21,20,5,5,4,6,6
TRINITY_DN13979_c0_g1,16,14,6,8,0,0,0,0,46,1,0,0,32,10,1,0,7,1,0,0,0,0,2,23,58,42
TRINITY_DN13980_c0_g1,5,4,0,3,5,0,8,7,3,2,0,1,4,8,1,3,2,0,6,2,3,1,3,4,3,0
TRINITY_DN13981_c0_g1,0,1,5,5,5,2,7,5,3,4,2,4,6,2,7,6,2,0,11,1,3,7,1,1,4,1
TRINITY_DN13982_c0_g1,1,0,2,1,2,4,7,4,4,3,1,3,5,1,0,2,11,6,1,3,5,5,3,2,2,2
TRINITY_DN13983_c0_g1,6,2,2,1,2,3,7,3,0,1,3,5,2,9,2,1,2,4,3,2,0,2,3,1,13,15
TRINITY_DN13984_c0_g1,29,0,15,3,2,1,1,7,1,1,1,9,7,33,4,7,1,1,9,0,0,10,1,0,3,1
TRINITY_DN13985_c0_g1,28,48,23,28,74,25,47,54,18,18,24,10,27,16,12,21,34,18,15,28,45,5,4,8,11,9
TRINITY_DN13986_c0_g1,8,16,4,8,2,16,42,5,2,0,8,1,5,3,1,3,26,8,1,37,28,7,1,3,3,2
TRINITY_DN13987_c0_g1,24,20,4,3,13,21,28,7,7,6,21,8,13,9,6,3,14,8,5,28,15,6,11,7,21,13
TRINITY_DN13988_c0_g1,2,0,0,0,0,0,1,3,0,0,2,1,1,1,2,2,0,1,0,0,0,0,0,1,1,0
TRINITY_DN13989_c0_g1,4,3,1,0,2,0,1,1,2,1,1,0,3,2,0,0,3,1,2,0,2,1,2,1,3,1
TRINITY_DN1398_c0_g1,6,33,7,8,4,10,10,6,9,9,5,12,4,21,5,4,12,8,4,8,14,5,23,30,49,66
TRINITY_DN13990_c0_g1,7,4,4,2,0,3,1,1,2,4,10,4,2,4,2,2,8,3,5,6,9,3,5,6,8,11
TRINITY_DN13991_c0_g1,2,0,9,10,1,0,0,5,5,0,0,0,1,2,3,1,2,0,8,4,2,3,8,3,5,1
TRINITY_DN13992_c0_g1,2,2,2,3,1,2,2,2,1,1,4,3,1,0,0,2,1,3,3,3,2,0,1,3,3,0
TRINITY_DN13993_c0_g1,12,14,8,3,6,8,10,14,13,2,2,8,8,26,6,9,4,4,11,8,7,6,3,8,12,8
TRINITY_DN13994_c0_g1,4,7,3,0,2,1,4,5,18,1,3,1,8,6,13,9,17,16,6,5,9,4,3,2,2,2
TRINITY_DN13995_c0_g1,7,6,3,3,2,0,3,3,1,1,0,2,4,5,8,3,0,3,3,1,0,3,2,1,6,4
TRINITY_DN13996_c0_g1,15,7,7,3,6,1,6,12,3,6,2,9,14,6,5,9,7,3,10,3,8,4,5,2,4,2
TRINITY_DN13997_c0_g1,2,1,2,0,6,4,12,6,1,6,5,9,2,4,5,2,6,5,5,6,8,1,1,1,4,1
TRINITY_DN13998_c0_g1,12,1,5,1,4,0,0,6,2,4,1,6,14,7,4,8,4,1,8,1,0,5,3,1,4,0
TRINITY_DN13999_c0_g1,5,18,10,3,13,8,4,8,9,4,7,10,9,9,10,3,15,7,12,8,9,8,4,5,12,12
TRINITY_DN1399_c0_g1,3,32,4,5,6,20,6,5,6,1,5,3,6,9,3,3,10,1,6,15,18,7,1,3,11,10
TRINITY_DN139_c0_g1,10,26,0,1,0,23,36,4,16,0,4,0,2,0,1,1,31,38,0,55,71,0,1,34,41,27
TRINITY_DN13_c0_g1,34,18,24,32,43,3,7,38,5,11,5,32,37,24,7,14,2,0,22,4,4,21,5,0,1,2
TRINITY_DN14000_c0_g1,3,4,1,4,2,3,3,3,6,4,7,7,6,3,2,2,8,1,3,5,4,3,3,3,5,3
TRINITY_DN14001_c0_g1,8,4,0,3,6,1,0,9,1,2,2,3,7,6,2,3,6,3,2,0,2,6,3,2,8,3
TRINITY_DN14002_c0_g1,5,1,0,0,5,2,3,3,5,1,12,5,8,0,2,1,15,5,3,5,1,2,1,11,4,4
TRINITY_DN14003_c0_g1,9,8,7,5,4,7,7,9,9,6,12,10,8,12,4,1,25,7,3,16,21,9,2,4,7,1
TRINITY_DN14004_c0_g1,3,9,5,1,4,7,8,9,1,4,3,5,11,8,5,2,11,3,2,13,11,6,1,1,6,5
TRINITY_DN14005_c0_g1,4,7,4,5,5,19,38,12,6,6,7,4,9,5,8,2,11,10,8,8,9,8,9,7,22,12
TRINITY_DN14006_c0_g1,0,4,2,1,2,8,4,0,10,0,4,0,3,0,2,1,3,1,2,4,3,0,0,0,0,0
TRINITY_DN14007_c0_g1,3,8,2,1,6,5,4,1,1,3,4,2,5,4,4,1,4,0,0,4,7,2,0,2,8,7
TRINITY_DN14008_c0_g1,0,9,0,0,0,37,37,0,34,0,0,0,0,0,0,1,7,10,0,35,25,0,0,3,2,7
TRINITY_DN14009_c0_g1,8,12,8,8,2,2,2,4,6,4,0,9,7,23,7,7,7,3,19,3,8,11,5,2,18,4
TRINITY_DN14010_c0_g1,37,45,37,10,14,6,12,7,11,14,7,16,28,50,22,20,22,15,33,21,21,12,11,14,31,26
TRINITY_DN14011_c0_g1,48,3,18,22,34,1,0,30,0,9,0,9,42,26,12,10,2,0,23,2,1,9,16,5,9,1
TRINITY_DN14012_c0_g1,1,1,1,1,0,1,2,5,2,3,3,5,9,5,2,2,9,2,1,8,5,2,0,0,0,0
TRINITY_DN14013_c0_g1,2,3,6,2,2,4,1,1,7,0,2,8,2,2,1,2,11,2,4,15,14,2,0,3,4,5
TRINITY_DN14014_c0_g1,7,4,3,2,8,7,19,2,2,7,3,8,10,9,2,5,1,11,3,6,4,8,2,6,5,6
TRINITY_DN14015_c0_g1,4,4,9,3,6,2,1,11,4,4,4,7,4,18,1,5,4,3,0,6,7,3,12,6,7,3
TRINITY_DN14016_c0_g1,4,23,8,2,4,7,7,5,13,9,16,9,13,8,5,3,11,5,4,14,15,3,6,17,17,9
TRINITY_DN14016_c1_g1,2,6,4,1,5,1,4,3,1,3,6,9,5,10,6,1,7,3,5,3,9,2,4,6,4,3
TRINITY_DN14017_c0_g1,29,37,18,14,40,40,35,20,33,21,19,23,18,25,13,18,50,21,11,67,44,19,26,47,42,40
TRINITY_DN14018_c0_g1,10,0,6,2,1,0,0,3,0,3,0,11,2,14,5,2,0,0,1,2,0,7,1,1,0,0
TRINITY_DN1401_c0_g1,14,8,21,26,18,10,7,18,7,11,13,17,15,20,8,9,9,4,21,10,3,13,18,4,14,10
TRINITY_DN14020_c0_g1,5,2,2,0,2,0,2,6,1,1,1,3,0,5,0,0,0,0,1,2,5,1,0,0,0,1
TRINITY_DN14021_c0_g1,3,0,1,0,16,0,0,15,0,3,0,3,3,18,0,0,1,0,3,0,0,1,4,0,0,0
TRINITY_DN14022_c0_g1,14,0,0,0,27,83,80,13,40,7,36,26,16,0,23,23,44,52,1,0,0,0,0,0,0,0
TRINITY_DN14023_c0_g1,11,4,3,2,5,0,0,5,6,10,3,8,6,10,5,6,2,2,8,1,6,5,3,1,4,2
TRINITY_DN14024_c0_g1,1,1,2,1,0,4,3,3,0,0,3,2,0,1,3,4,1,1,2,6,1,0,2,1,5,3
TRINITY_DN14025_c0_g1,6,4,0,1,4,0,0,0,1,1,0,0,0,5,5,0,6,2,0,9,5,0,2,4,2,2
TRINITY_DN14026_c0_g1,1,1,4,0,0,1,0,2,0,1,0,0,3,1,2,0,0,0,1,1,0,0,2,0,0,0
TRINITY_DN14027_c0_g1,5,6,9,3,6,0,0,6,1,7,1,4,10,8,6,3,5,3,7,7,0,9,4,4,4,1
TRINITY_DN14028_c0_g1,3,1,1,0,0,3,1,2,3,3,1,2,0,4,4,4,12,7,1,2,4,1,4,6,10,7
TRINITY_DN14029_c0_g1,11,80,3,191,58,43,12,101,20,2,1,8,11,10,11,17,49,26,36,110,22,93,215,8,18,29
TRINITY_DN1402_c0_g1,5,4,3,1,5,0,1,7,0,2,1,4,3,10,0,2,0,2,11,3,7,1,2,1,1,2
TRINITY_DN14030_c0_g1,7,2,1,2,1,1,0,6,1,9,1,10,10,6,1,3,2,1,6,1,0,17,6,0,0,1
TRINITY_DN14031_c0_g1,2,2,1,0,2,0,0,0,0,1,0,1,2,2,2,0,0,0,1,1,1,1,2,1,1,1
TRINITY_DN14032_c0_g1,8,3,3,1,9,5,1,7,1,4,4,1,9,4,6,0,9,1,5,5,4,3,0,2,3,5
TRINITY_DN14033_c0_g1,4,7,5,2,3,6,1,2,3,2,7,1,7,6,3,6,13,5,3,6,6,2,3,9,12,10
TRINITY_DN14034_c0_g1,12,5,6,2,6,2,1,8,17,8,5,10,6,6,1,6,3,4,7,2,9,6,5,4,7,7
TRINITY_DN14035_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,62,0,0,10
TRINITY_DN14036_c0_g1,18,22,15,10,11,7,8,17,14,6,6,11,14,19,11,7,19,14,13,15,10,16,5,12,18,12
TRINITY_DN14037_c0_g1,5,1,5,3,4,2,3,8,7,1,5,3,9,5,1,3,0,3,3,0,2,3,3,2,4,5
TRINITY_DN14038_c0_g1,5,25,5,1,3,11,8,4,8,1,2,2,2,5,1,0,19,12,1,7,8,1,5,13,20,15
TRINITY_DN14039_c0_g1,0,0,0,0,0,3,1,1,2,0,1,0,1,7,1,4,4,1,14,6,13,0,1,1,1,0
TRINITY_DN1403_c0_g1,5,1,2,4,17,6,1,15,4,1,0,5,18,2,26,43,10,0,5,5,1,8,9,0,2,0
TRINITY_DN14040_c0_g1,0,15,18,17,1,0,3,1,3,9,2,8,0,17,13,15,4,1,0,0,0,0,7,2,5,2
TRINITY_DN14041_c0_g1,0,1,2,3,6,0,0,6,0,1,0,3,4,2,4,2,5,0,5,0,2,4,4,4,0,2
TRINITY_DN14042_c0_g1,20,34,11,5,22,22,18,32,9,13,15,24,18,24,1,15,14,18,7,23,32,8,15,19,18,31
TRINITY_DN14043_c0_g1,1,24,4,2,0,4,12,1,10,1,1,0,2,1,1,1,6,1,1,9,8,1,0,7,7,3
TRINITY_DN14044_c0_g1,0,1,0,1,2,0,0,1,0,0,0,0,0,1,0,5,0,1,1,0,1,2,2,0,0,0
TRINITY_DN14045_c0_g1,9,0,1,2,3,2,5,5,2,7,0,10,2,3,2,1,1,1,1,6,9,2,4,5,6,10
TRINITY_DN14046_c0_g1,14,14,6,7,10,6,9,16,19,5,4,13,5,16,8,10,10,5,12,12,11,8,6,9,11,11
TRINITY_DN14047_c0_g1,10,6,4,4,0,6,12,5,7,3,10,2,10,5,6,3,3,1,9,5,3,2,3,2,6,4
TRINITY_DN14048_c0_g1,2,12,3,4,0,4,4,6,12,3,3,5,5,1,0,0,0,0,5,6,10,1,5,5,5,2
TRINITY_DN14049_c0_g1,2,17,3,1,0,13,12,2,2,0,3,0,0,1,0,0,0,2,0,1,3,2,1,6,3,10
TRINITY_DN14050_c0_g1,11,4,6,2,3,4,3,6,6,5,0,6,3,7,7,1,6,5,15,9,13,3,2,1,8,1
TRINITY_DN14051_c0_g1,1,13,14,9,3,1,3,1,2,0,0,0,2,8,2,1,1,0,1,0,2,11,3,1,2,0
TRINITY_DN14052_c0_g1,7,11,7,4,13,9,10,24,2,10,0,7,15,8,8,9,7,3,7,5,15,1,4,7,10,10
TRINITY_DN14053_c0_g1,3,4,3,4,1,3,1,2,2,1,1,0,2,1,0,0,4,2,0,4,3,0,1,5,1,1
TRINITY_DN14054_c0_g1,5,10,0,3,0,3,2,0,2,0,3,0,1,1,0,3,9,2,0,10,9,0,1,6,6,7
TRINITY_DN14055_c0_g1,1,16,3,2,3,14,10,2,13,1,3,2,0,2,0,1,2,6,2,9,6,6,0,6,4,4
TRINITY_DN14056_c0_g1,63,13,86,54,53,3,0,87,3,22,1,31,60,69,57,65,12,1,59,1,5,28,6,4,4,1
TRINITY_DN14057_c0_g1,3,3,2,1,5,2,5,3,2,0,0,0,2,5,1,2,2,0,1,4,3,2,1,1,2,0
TRINITY_DN14058_c0_g1,4,2,1,3,5,0,0,5,2,1,0,1,2,2,0,5,0,0,0,2,0,1,2,0,0,0
TRINITY_DN14059_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,0,0,16,2,3,9
TRINITY_DN14060_c0_g1,0,5,0,4,0,6,8,1,7,3,4,3,1,1,2,3,4,4,4,7,4,0,3,1,9,2
TRINITY_DN14061_c0_g1,2,5,2,2,4,2,9,3,2,0,2,2,2,5,3,5,4,3,2,13,4,2,2,1,5,3
TRINITY_DN14062_c0_g1,33,63,20,4,7,20,26,10,15,3,9,4,10,27,10,13,27,16,9,40,43,10,13,27,45,24
TRINITY_DN14063_c0_g1,0,1,2,0,3,1,0,5,0,0,1,0,0,0,0,0,0,2,5,4,4,1,0,0,2,1
TRINITY_DN14064_c0_g1,0,21,0,125,40,30,0,81,0,0,0,0,0,0,0,3,18,9,13,43,0,0,1,0,0,0
TRINITY_DN14065_c0_g1,1,0,0,3,1,1,2,0,1,1,2,2,0,4,2,1,1,1,0,1,1,2,0,2,0,2
TRINITY_DN14066_c0_g1,1,0,1,0,0,3,1,1,2,2,1,2,1,0,0,0,0,1,1,3,1,2,0,5,3,1
TRINITY_DN14067_c0_g1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
TRINITY_DN14068_c0_g1,0,0,1,1,0,2,3,3,1,0,0,0,9,0,0,0,3,2,2,2,4,2,0,1,3,4
TRINITY_DN14069_c0_g1,8,6,5,3,3,9,3,7,2,1,3,2,2,4,4,4,5,3,7,2,6,1,2,1,7,5
TRINITY_DN1406_c0_g1,11,11,17,10,13,18,10,23,12,11,16,15,9,8,9,9,10,8,5,10,20,12,8,6,10,10
TRINITY_DN14070_c0_g1,7,20,18,8,10,2,4,10,0,8,8,7,16,6,0,1,2,3,10,7,8,0,11,10,13,14
TRINITY_DN14071_c0_g1,4,6,1,1,0,3,3,0,1,3,1,1,0,1,1,0,5,0,0,1,0,2,1,3,2,2
TRINITY_DN14072_c0_g1,10,15,3,4,14,15,15,13,9,3,12,6,3,8,3,2,18,5,10,14,16,4,4,6,22,12
TRINITY_DN14073_c0_g1,1,5,5,2,2,0,0,2,1,2,4,3,1,3,0,1,1,1,6,4,5,5,0,1,1,3
TRINITY_DN14074_c0_g1,2,7,0,1,0,0,1,1,1,2,3,0,0,4,3,1,3,7,1,5,8,1,1,3,10,5
TRINITY_DN14075_c0_g1,5,4,3,0,2,0,4,2,2,0,1,0,0,6,5,0,3,2,1,1,3,2,0,0,0,1
TRINITY_DN14076_c0_g1,14,2,8,6,7,1,2,5,1,3,2,10,14,6,3,5,1,0,3,2,0,1,1,1,0,0
TRINITY_DN14077_c0_g1,3,20,12,6,3,3,4,2,8,1,6,7,4,6,2,2,8,4,6,5,9,5,1,4,7,6
TRINITY_DN14078_c0_g1,6,12,0,1,4,15,11,6,0,0,0,0,11,2,3,0,0,0,0,0,0,0,5,4,5,17
TRINITY_DN14079_c0_g1,17,5,4,1,12,15,25,15,8,5,5,5,8,12,7,7,12,12,14,22,30,3,4,10,10,28
TRINITY_DN1407_c0_g1,19,12,9,5,11,18,19,12,12,7,17,9,13,12,13,6,10,1,8,8,13,16,1,3,12,10
TRINITY_DN14080_c0_g1,6,4,8,2,2,2,2,1,7,1,2,1,0,6,1,1,1,1,1,3,5,2,2,2,2,1
TRINITY_DN14081_c0_g1,13,25,1,1,4,30,26,10,10,2,19,7,2,0,0,0,0,0,3,62,65,9,0,18,36,27
TRINITY_DN14082_c0_g1,2,1,1,0,3,3,1,6,3,1,2,3,1,2,4,3,1,2,5,1,4,5,0,3,2,2
TRINITY_DN14083_c0_g1,14,12,7,16,16,11,10,15,11,9,2,5,10,14,6,13,10,5,14,13,11,7,6,17,12,18
TRINITY_DN14084_c0_g1,4,5,6,9,1,2,1,4,9,1,1,3,14,2,1,1,2,0,0,6,3,1,3,3,5,7
TRINITY_DN14085_c0_g1,6,2,5,5,1,1,3,5,3,6,4,14,8,8,5,2,7,2,3,4,5,2,2,4,7,8
TRINITY_DN14086_c0_g1,5,0,9,1,8,0,0,21,0,14,0,10,11,15,13,8,0,0,7,0,0,2,7,0,1,1
TRINITY_DN14087_c0_g1,26,5,6,34,15,10,7,9,9,9,1,15,11,31,12,12,12,14,0,8,4,4,9,5,8,8
TRINITY_DN14088_c0_g1,8,1,39,38,21,7,19,24,6,53,2,59,57,58,11,19,19,9,14,17,6,7,13,11,14,31
TRINITY_DN14089_c0_g1,3,5,2,1,5,4,1,3,5,1,2,1,2,3,0,1,5,1,1,2,5,0,0,4,6,1
TRINITY_DN1408_c0_g1,15,28,1,2,7,24,27,6,16,1,29,2,11,10,4,2,32,13,5,29,15,7,3,7,16,14
TRINITY_DN14090_c0_g1,1,0,0,0,6,0,0,6,0,2,0,2,2,9,0,0,0,0,2,0,0,4,1,0,0,0
TRINITY_DN14091_c0_g1,6,0,0,0,3,8,15,3,6,2,7,5,1,4,4,0,16,8,5,5,9,0,1,1,4,4
TRINITY_DN14092_c0_g1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN14093_c0_g1,1,3,4,2,4,8,10,5,1,2,0,3,2,2,4,6,4,3,8,3,4,7,2,1,3,4
TRINITY_DN14094_c0_g1,4,5,1,2,4,6,4,5,0,3,4,5,5,7,4,2,0,1,6,1,1,3,4,4,5,6
TRINITY_DN14095_c0_g1,12,6,3,6,16,0,3,3,0,4,1,3,9,6,2,5,2,0,13,1,0,2,2,0,1,3
TRINITY_DN14096_c0_g1,1,3,2,2,0,1,0,2,0,1,1,2,4,10,2,1,0,0,2,3,1,7,3,3,4,5
TRINITY_DN14097_c0_g1,3,6,1,1,1,6,6,2,13,1,0,3,3,4,0,3,11,4,1,4,6,1,1,0,6,3
TRINITY_DN14098_c0_g1,0,1,1,2,8,0,4,1,3,3,1,3,11,14,3,3,1,0,1,1,2,3,3,0,5,1
TRINITY_DN14099_c0_g1,3,12,3,3,6,10,8,2,6,6,15,4,4,4,4,3,4,2,3,9,8,3,2,6,9,9
TRINITY_DN1409_c0_g1,0,3,6,8,15,0,6,11,1,2,2,2,3,11,5,0,13,1,1,1,1,1,5,7,8,2
TRINITY_DN140_c0_g1,24,51,24,17,46,41,41,28,36,15,31,31,55,30,25,24,60,22,36,109,109,20,18,35,74,46
TRINITY_DN14100_c0_g1,0,6,0,66,17,1,0,23,0,0,0,1,0,0,0,3,3,0,5,9,0,0,0,0,0,0
TRINITY_DN14101_c0_g1,5,4,3,3,0,6,3,2,3,2,1,2,0,3,1,3,2,1,1,8,4,2,2,5,3,2
TRINITY_DN14102_c0_g1,12,5,9,4,7,17,15,9,3,8,29,8,18,18,7,9,8,9,6,5,14,6,6,7,10,13
TRINITY_DN14103_c0_g1,6,3,7,5,2,2,3,4,3,2,8,7,3,5,2,2,3,7,4,10,9,0,5,4,6,7
TRINITY_DN14104_c0_g1,4,10,3,5,5,3,12,6,8,1,1,3,1,3,3,2,4,3,4,24,13,5,9,7,15,4
TRINITY_DN14105_c0_g1,57,139,56,26,23,73,47,66,75,3,60,27,39,66,18,18,56,32,25,34,42,30,22,48,129,56
TRINITY_DN14106_c0_g1,18,15,4,3,9,21,28,14,16,8,18,15,25,12,5,1,17,6,13,24,29,2,4,5,19,3
TRINITY_DN14107_c0_g1,14,3,2,3,3,3,6,6,1,0,3,6,3,2,5,3,1,1,3,3,5,2,1,2,5,3
TRINITY_DN14108_c0_g1,6,6,3,5,1,5,8,5,7,5,4,7,1,4,3,4,6,3,3,9,16,2,1,4,7,4
TRINITY_DN14109_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,240,0,0,0,0,0
TRINITY_DN1410_c0_g1,13,7,10,4,10,3,4,9,7,11,3,11,2,15,2,6,10,3,3,13,13,13,2,1,3,8
TRINITY_DN14110_c0_g1,5,0,0,0,0,0,0,0,1,4,3,2,2,1,3,1,6,5,2,6,5,1,1,0,0,0
TRINITY_DN14111_c0_g1,16,58,6,5,3,31,47,13,42,7,40,11,11,14,16,17,57,35,14,24,41,4,1,19,41,39
TRINITY_DN14112_c0_g1,3,1,1,0,10,16,16,4,6,4,7,2,0,0,1,3,10,14,1,7,9,0,7,8,3,7
TRINITY_DN14113_c0_g1,21,52,22,11,29,21,37,27,31,7,20,10,31,29,10,6,25,16,33,45,32,17,16,18,62,28
TRINITY_DN14114_c0_g1,1,0,0,0,1,1,0,2,1,0,0,3,6,0,1,0,0,0,1,0,0,1,0,2,1,1
TRINITY_DN14115_c0_g1,29,46,9,7,7,22,32,18,36,9,35,16,17,23,9,9,38,22,10,34,32,4,6,36,61,55
TRINITY_DN14116_c0_g1,34,35,10,19,15,20,20,22,15,9,13,15,26,30,13,13,37,6,15,13,14,13,8,9,25,9
TRINITY_DN14117_c0_g1,24,4,15,15,15,2,5,17,16,11,9,16,18,30,14,13,6,6,10,10,13,9,14,2,4,13
TRINITY_DN14118_c0_g1,3,0,3,1,1,0,3,1,5,0,2,3,2,1,1,0,2,0,0,7,3,0,0,9,7,5
TRINITY_DN14119_c0_g1,31,189,15,8,22,163,182,22,98,9,87,16,16,23,7,4,126,64,19,113,114,14,8,90,159,109
TRINITY_DN14120_c0_g1,1,2,4,7,7,2,1,12,0,3,3,1,6,2,5,1,4,3,1,1,2,2,2,5,4,3
TRINITY_DN14121_c0_g1,1,6,4,1,0,3,0,1,1,1,2,3,3,10,6,1,3,8,5,3,1,3,2,4,4,6
TRINITY_DN14122_c0_g1,18,16,15,2,7,13,13,6,15,8,9,8,18,14,7,5,14,8,5,21,15,6,3,13,16,10
TRINITY_DN14123_c0_g1,0,4,1,6,0,0,0,1,1,0,0,1,4,2,2,5,0,0,4,0,2,1,3,1,0,1
TRINITY_DN14124_c0_g1,5,0,7,3,3,1,0,8,1,7,2,4,1,4,2,3,0,0,3,3,3,2,7,0,1,2
