,HA1,CA2,HB2,CB3,CB4,HB5,HB6,CC2,CC3,CD2,CD4,HD6,CF8,HK4,HN1,HO1,HO2,CO4,CQ2,HQ3,CQ4,CQ5,HQ6
TRINITY_DN12547_c0_g1,7,5,8,1,4,4,5,8,1,12,0,3,15,4,2,4,2,3,12,0,5,6,3
TRINITY_DN12548_c0_g1,28,43,18,32,24,12,12,40,28,69,24,9,47,12,20,11,14,32,38,10,41,50,62
TRINITY_DN12549_c0_g1,215,207,204,163,131,45,128,125,174,385,73,19,328,128,35,150,105,228,205,11,224,209,337
TRINITY_DN1254_c0_g1,13,7,5,1,4,8,4,0,5,5,3,9,13,11,2,9,9,4,6,12,9,9,17
TRINITY_DN12550_c0_g1,5,10,1,5,10,3,4,12,10,25,6,2,20,4,2,3,4,6,12,1,15,17,2
TRINITY_DN12551_c0_g1,1,2,1,0,0,0,0,5,0,6,1,1,0,3,3,4,1,3,1,3,5,1,3
TRINITY_DN12552_c0_g1,25,29,20,18,17,11,14,15,18,36,11,10,28,17,6,20,21,15,24,3,12,27,19
TRINITY_DN12553_c0_g1,7,2,3,2,1,1,1,1,1,3,0,0,5,1,1,3,2,3,3,0,0,0,5
TRINITY_DN12554_c0_g1,1,4,0,0,0,0,1,0,1,1,0,1,1,2,2,3,3,2,4,1,6,4,0
TRINITY_DN12555_c0_g1,6,3,5,7,4,5,2,5,6,22,5,7,14,5,13,3,3,9,10,3,14,10,21
TRINITY_DN12556_c0_g1,3,3,1,2,3,0,2,2,4,2,1,1,4,2,0,3,3,1,3,2,2,1,4
TRINITY_DN12558_c0_g1,4,7,11,1,4,1,2,8,4,11,7,0,6,6,8,10,12,9,6,4,15,11,29
TRINITY_DN12559_c0_g1,8,11,2,6,4,4,1,10,5,11,4,3,16,5,2,13,4,7,10,10,4,11,15
TRINITY_DN1255_c0_g1,2,1,0,0,0,0,0,8,2,3,2,0,4,1,0,0,0,1,6,0,17,16,0
TRINITY_DN12560_c0_g1,13,29,9,8,5,1,2,0,1,28,17,7,0,7,0,0,0,15,0,1,25,21,6
TRINITY_DN12561_c0_g1,0,5,7,1,3,5,4,6,1,5,2,1,3,2,0,3,4,5,0,2,1,5,2
TRINITY_DN12562_c0_g1,3,11,0,0,0,0,0,2,1,2,1,1,0,0,0,0,3,5,11,2,1,3,1
TRINITY_DN12563_c0_g1,7,13,19,10,11,8,7,5,3,10,0,7,17,12,6,20,10,4,6,5,6,7,7
TRINITY_DN12564_c0_g1,3,4,1,3,7,5,4,1,2,6,6,2,7,1,0,2,6,3,6,0,3,1,1
TRINITY_DN12565_c0_g1,9,14,32,15,9,13,13,21,11,25,9,10,13,12,15,17,12,11,7,1,8,14,8
TRINITY_DN12566_c0_g1,80,204,83,67,43,54,39,97,90,253,52,43,124,91,24,79,89,65,63,43,103,136,83
TRINITY_DN12567_c0_g1,5,6,4,1,2,1,1,4,0,11,6,3,6,2,2,7,10,8,6,4,9,9,3
TRINITY_DN12568_c0_g1,0,1,2,2,0,0,2,1,0,5,0,1,5,2,1,1,3,1,0,1,0,1,5
TRINITY_DN12569_c0_g1,11,10,4,3,2,3,3,1,2,6,1,3,2,3,0,14,6,9,3,1,11,4,5
TRINITY_DN1256_c0_g1,1,3,1,5,0,0,0,1,1,8,1,2,9,0,2,1,2,5,3,0,1,6,2
TRINITY_DN12570_c0_g1,2,3,0,1,0,0,1,3,2,2,1,0,2,4,0,4,3,0,3,1,3,5,3
TRINITY_DN12571_c0_g1,140,50,115,9,11,53,41,24,21,62,44,46,44,121,17,126,20,43,33,29,29,45,68
TRINITY_DN12572_c0_g1,6,2,2,1,3,2,4,1,1,9,5,3,2,3,0,3,3,5,3,5,5,5,1
TRINITY_DN12573_c0_g1,21,50,39,21,15,23,15,40,22,69,15,13,40,14,13,39,49,33,26,13,24,59,15
TRINITY_DN12574_c0_g1,634,504,530,726,300,89,884,414,464,1363,694,430,1581,214,253,239,304,906,541,251,1118,245,919
TRINITY_DN12575_c0_g1,12,13,9,12,11,8,10,9,7,20,6,4,21,6,3,4,8,14,8,2,6,21,17
TRINITY_DN12576_c0_g1,2,3,2,2,1,1,0,2,1,3,0,0,2,2,3,1,2,1,2,2,0,1,4
TRINITY_DN12577_c0_g1,6,12,2,3,7,3,3,5,7,10,7,1,13,2,2,1,2,6,9,3,12,5,3
TRINITY_DN12579_c0_g1,5,19,8,7,5,7,4,5,12,17,11,8,13,8,2,8,20,8,11,9,13,19,8
TRINITY_DN1257_c0_g1,1,4,4,3,1,0,0,6,3,5,4,0,8,1,0,3,0,8,3,2,15,25,0
TRINITY_DN12580_c0_g1,21,5,10,13,7,16,5,15,5,25,20,7,10,13,1,25,4,10,14,12,20,17,12
TRINITY_DN12581_c0_g1,9,25,58,10,4,15,12,7,10,74,1,17,11,15,5,32,5,16,14,4,25,45,22
TRINITY_DN12582_c0_g1,0,0,0,2,10,2,0,0,0,7,6,1,6,0,0,0,5,0,0,0,1,0,0
TRINITY_DN12583_c0_g1,20,102,26,7,1,6,0,10,4,113,25,23,60,55,2,41,0,32,5,31,31,66,38
TRINITY_DN12584_c0_g1,12,4,11,2,2,4,4,4,2,14,3,6,6,3,4,10,12,5,4,5,8,7,16
TRINITY_DN12585_c0_g1,0,1,0,0,1,0,1,0,0,722,359,253,1258,0,1,0,30,1435,0,0,1,0,0
TRINITY_DN12586_c0_g1,15,12,9,9,8,8,5,8,7,15,14,10,12,8,1,16,10,13,18,0,12,25,8
TRINITY_DN12587_c0_g1,12,4,12,1,5,2,5,4,5,4,2,6,7,3,5,16,9,2,4,7,2,7,10
TRINITY_DN12588_c0_g1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TRINITY_DN12589_c0_g1,11,16,17,28,42,16,9,5,8,36,2,5,31,6,0,10,7,5,18,4,6,6,7
TRINITY_DN1258_c0_g1,46,63,41,9,10,21,9,19,19,59,17,21,26,39,94,60,52,33,43,66,21,53,89
TRINITY_DN12590_c0_g1,1,5,20,9,6,4,8,6,2,5,2,1,4,7,3,1,16,4,6,1,2,4,2
TRINITY_DN12591_c0_g1,6,11,3,2,7,5,6,6,5,19,9,8,6,6,5,7,12,12,15,6,23,11,21
TRINITY_DN12592_c0_g1,3,3,0,5,1,3,4,1,3,6,4,1,8,1,1,2,3,0,2,0,7,9,0
TRINITY_DN12593_c0_g1,1,1,3,6,6,3,2,2,3,2,5,0,4,2,2,2,2,0,2,0,1,4,2
TRINITY_DN12594_c0_g1,7,12,7,5,3,4,2,10,5,17,9,3,16,6,4,9,8,12,9,3,20,31,3
TRINITY_DN12595_c0_g1,415,756,492,272,422,282,238,784,560,1070,204,195,921,429,63,411,269,620,674,148,575,813,164
TRINITY_DN12596_c0_g1,16,19,9,7,10,13,6,25,10,24,13,6,10,12,4,10,23,20,14,19,13,17,11
TRINITY_DN12597_c0_g1,4,6,5,7,17,7,3,1,2,6,1,4,5,4,5,3,5,2,6,2,7,9,1
TRINITY_DN12598_c0_g1,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,17,0,0,0,0,0
TRINITY_DN12599_c0_g1,4,20,1,3,6,3,1,4,4,6,0,0,20,5,0,7,12,17,23,1,4,9,2
TRINITY_DN125_c0_g1,5218,5544,1866,6064,3238,929,4686,2061,4813,11135,6740,4523,8635,1491,2406,2027,2295,6350,6169,2705,9827,1976,6197
TRINITY_DN12600_c0_g1,16,6,1,2,8,4,1,5,7,24,10,16,8,3,0,2,6,5,8,6,10,4,1
TRINITY_DN12601_c0_g1,2,6,1,1,2,7,3,3,6,9,5,1,11,0,2,4,0,4,8,2,16,9,1
TRINITY_DN12602_c0_g1,10,11,8,9,3,5,6,1,5,19,6,3,6,8,5,0,7,9,6,2,9,6,3
TRINITY_DN12603_c0_g1,5,1,15,8,2,0,6,7,2,12,2,0,8,7,2,6,11,3,4,2,5,7,7
TRINITY_DN12604_c0_g1,3,7,11,5,0,8,9,6,4,3,0,3,5,5,3,3,6,2,2,6,4,6,10
TRINITY_DN12605_c0_g1,6,3,3,0,0,3,1,6,0,9,0,5,5,0,0,3,0,3,4,0,2,0,0
TRINITY_DN12606_c0_g1,368,559,519,275,326,401,158,334,374,678,270,152,397,429,193,438,329,470,331,166,634,814,398
TRINITY_DN12608_c0_g1,96,0,0,0,0,0,0,0,0,166,64,26,0,0,1,0,0,109,0,0,0,1,0
TRINITY_DN12609_c0_g1,1,4,10,1,1,2,1,6,0,13,15,5,5,5,8,11,3,10,6,7,10,10,2
TRINITY_DN12610_c0_g1,7,5,0,0,0,2,0,3,0,4,4,4,6,2,1,5,5,0,4,4,3,5,3
TRINITY_DN12611_c0_g1,0,2,3,1,1,2,0,3,2,3,1,0,8,5,0,2,2,0,6,0,1,0,3
TRINITY_DN12612_c0_g1,6,15,21,10,21,16,11,19,10,25,4,5,19,10,11,33,16,19,18,3,17,15,9
TRINITY_DN12613_c0_g1,6,2,2,1,0,0,3,4,0,1,1,0,1,5,1,4,1,1,2,1,0,0,0
TRINITY_DN12615_c0_g1,13,40,13,9,8,6,4,9,8,14,4,4,12,17,6,26,13,15,15,6,18,22,14
TRINITY_DN12616_c0_g1,0,1,0,0,0,0,0,2,1,1,0,3,3,0,0,1,1,0,3,0,0,0,3
TRINITY_DN12617_c0_g1,5,12,21,15,14,9,17,12,9,12,6,7,21,8,4,12,12,5,9,3,10,14,6
TRINITY_DN12618_c0_g1,7,9,9,9,6,10,6,10,9,12,10,4,12,14,4,20,13,18,21,7,11,23,14
TRINITY_DN12619_c0_g1,25,25,23,20,8,10,8,4,6,24,9,8,26,7,6,15,9,35,17,12,29,24,16
TRINITY_DN12620_c0_g1,0,0,0,0,0,0,0,0,0,12,12,19,13,0,0,0,0,30,0,0,0,0,0
TRINITY_DN12621_c0_g1,16,34,77,25,34,70,32,113,48,39,24,30,76,29,2,37,15,82,99,10,133,268,6
TRINITY_DN12622_c0_g1,6,3,11,2,6,4,1,7,3,7,3,5,5,1,2,3,4,3,4,3,4,2,8
TRINITY_DN12623_c0_g1,3,2,1,0,0,1,0,2,0,3,2,0,3,1,0,3,0,2,1,1,3,4,3
TRINITY_DN12624_c0_g1,51,12,48,10,4,28,27,18,2,8,6,16,18,14,14,57,24,6,14,16,5,5,37
TRINITY_DN12625_c0_g1,9,23,6,5,9,10,3,24,9,22,8,10,21,7,12,10,15,13,14,15,18,16,13
TRINITY_DN12627_c0_g1,3,3,6,3,1,3,2,2,3,3,2,1,5,1,3,4,4,5,3,0,0,2,2
TRINITY_DN12628_c0_g1,10,15,10,12,2,7,5,8,13,24,30,3,13,3,0,11,9,9,13,3,8,15,15
TRINITY_DN12629_c0_g1,12,8,13,11,4,5,7,5,4,12,6,4,9,9,8,7,4,14,13,10,12,10,6
TRINITY_DN12630_c0_g1,7,12,17,8,4,7,8,6,3,14,2,4,16,4,1,8,8,9,10,4,2,5,12
TRINITY_DN12631_c0_g1,14,8,16,4,8,3,2,6,4,13,3,4,5,10,10,11,4,6,5,0,4,12,10
TRINITY_DN12632_c0_g1,2,2,0,7,0,3,3,2,0,1,0,1,0,0,0,1,0,0,5,0,0,0,0
TRINITY_DN12633_c0_g1,45,41,89,34,50,31,51,42,22,62,17,10,53,18,12,26,43,31,47,15,62,91,40
TRINITY_DN12634_c0_g1,2,3,3,6,4,4,4,3,4,6,1,7,1,9,2,4,2,2,7,1,2,5,3
TRINITY_DN12635_c0_g1,3,2,5,4,3,4,4,3,2,5,2,1,1,1,0,2,1,2,3,4,6,10,3
TRINITY_DN12636_c0_g1,13,20,24,16,10,9,9,3,3,14,6,5,20,8,7,9,11,9,12,6,9,22,8
TRINITY_DN12637_c0_g1,3,9,4,7,5,4,2,11,5,7,2,1,20,2,0,2,0,4,4,0,15,7,1
TRINITY_DN12638_c0_g1,9,2,5,5,6,3,1,1,2,4,0,2,5,1,0,3,3,2,3,0,7,6,1
TRINITY_DN12639_c0_g1,13,10,17,7,10,10,10,6,6,9,5,0,10,7,4,8,9,8,7,4,3,7,17
TRINITY_DN1263_c0_g1,8,7,26,10,12,7,20,12,3,12,3,4,9,6,1,5,8,3,7,3,3,3,2
TRINITY_DN12640_c0_g1,37,62,15,26,32,25,17,27,44,53,23,18,48,32,11,27,16,21,34,21,45,51,23
TRINITY_DN12641_c0_g1,4,10,7,4,3,5,1,12,15,16,4,3,20,3,2,8,1,25,9,6,27,23,1
TRINITY_DN12642_c0_g1,0,0,0,0,0,0,0,0,0,3,5,4,6,0,0,0,0,24,0,0,0,0,0
TRINITY_DN12643_c0_g1,5,2,9,0,0,1,3,3,3,7,2,0,1,1,2,4,2,0,0,3,4,3,11
TRINITY_DN12644_c0_g1,1,8,4,2,2,5,2,4,3,6,1,1,1,2,0,0,0,0,4,3,0,3,2
TRINITY_DN12645_c0_g1,20,32,22,22,20,31,25,25,22,49,31,24,63,19,5,31,16,18,12,13,43,45,29
TRINITY_DN12646_c0_g1,9,19,10,24,20,12,5,21,10,24,9,8,13,14,3,15,10,9,15,1,16,10,13
TRINITY_DN12647_c0_g1,42,14,29,6,8,11,10,14,10,18,14,13,22,22,11,38,29,9,6,8,16,13,45
TRINITY_DN12648_c0_g1,5,7,1,1,1,1,0,2,0,7,0,2,6,2,1,0,3,3,1,1,6,1,11
TRINITY_DN12649_c0_g1,4,2,4,0,0,1,2,0,0,5,0,0,4,0,0,1,5,6,8,3,8,6,0
TRINITY_DN12650_c0_g1,28,29,29,9,21,10,6,46,12,45,4,9,42,7,0,20,19,21,9,12,19,13,20
TRINITY_DN12651_c0_g1,20,24,17,7,6,6,4,8,11,34,6,9,24,15,9,6,17,13,10,6,16,24,10
TRINITY_DN12652_c0_g1,9,18,14,7,4,7,3,6,2,14,9,8,14,5,4,12,10,12,6,5,20,18,20
TRINITY_DN12653_c0_g1,18,6,11,3,5,5,4,30,12,22,19,30,36,9,9,10,11,8,14,18,35,21,10
TRINITY_DN12654_c0_g1,9,11,4,2,5,2,1,7,7,19,4,4,11,4,2,6,5,5,7,3,5,1,4
TRINITY_DN12655_c0_g1,2,5,2,2,3,2,2,1,1,3,1,1,3,0,0,3,9,0,1,2,4,2,4
TRINITY_DN12656_c0_g1,6,3,0,3,1,0,1,1,0,15,5,4,2,6,7,1,1,7,4,2,8,4,7
TRINITY_DN12657_c0_g1,0,1,5,5,4,2,2,0,0,1,0,0,0,0,0,1,7,0,0,0,1,0,3
TRINITY_DN12658_c0_g1,14,45,20,25,12,10,13,14,19,41,7,5,25,12,6,24,12,22,22,5,28,36,28
TRINITY_DN12659_c0_g1,4,31,13,9,7,4,9,7,9,21,24,0,20,5,36,5,9,18,17,7,9,6,9
TRINITY_DN1265_c0_g1,13,6,8,1,2,2,4,6,8,2,2,0,4,8,1,2,2,3,3,3,6,3,4
TRINITY_DN12660_c0_g1,13,24,16,10,18,13,7,17,20,29,11,7,28,12,6,16,27,26,18,15,29,32,19
TRINITY_DN12661_c0_g1,1,4,1,2,1,3,0,3,3,4,1,1,8,0,0,1,1,0,1,0,4,2,1
TRINITY_DN12662_c0_g1,0,0,0,0,0,0,0,0,0,8,9,4,4,0,0,0,0,27,0,0,0,0,0
TRINITY_DN12663_c0_g1,19,25,19,14,9,11,11,16,18,29,25,13,22,11,12,21,17,31,20,8,31,35,27
TRINITY_DN12664_c0_g1,2,5,5,4,9,3,6,5,0,4,3,0,4,1,0,5,3,5,5,0,4,2,5
TRINITY_DN12665_c0_g1,15,13,4,10,0,2,1,7,2,26,11,4,12,6,9,10,5,8,6,8,8,9,17
TRINITY_DN12666_c0_g1,34,51,39,25,36,29,40,43,29,41,14,13,60,18,23,26,35,22,47,16,48,49,44
TRINITY_DN12667_c0_g1,1,4,0,3,4,1,1,6,4,5,3,0,7,0,0,2,2,3,4,0,8,6,1
TRINITY_DN12668_c0_g1,13,9,14,10,7,7,2,10,5,7,6,5,15,5,2,5,8,10,8,3,8,10,16
TRINITY_DN12669_c0_g1,6,5,9,3,5,3,2,5,4,6,4,2,4,5,0,8,10,9,8,2,5,2,4
TRINITY_DN12670_c0_g1,4,14,5,5,3,3,3,4,10,10,0,2,7,2,1,3,1,4,4,2,10,4,11
TRINITY_DN12671_c0_g1,26,18,14,5,6,9,6,8,7,26,18,11,9,11,23,20,8,7,14,20,5,5,36
TRINITY_DN12672_c0_g1,6,12,8,12,21,6,5,8,12,25,12,4,33,12,1,9,9,11,14,1,18,29,4
TRINITY_DN12673_c0_g1,11,5,17,11,14,7,9,11,5,27,9,13,10,10,3,12,14,20,13,11,25,14,16
TRINITY_DN12674_c0_g1,28,36,62,26,19,29,20,59,26,53,9,13,59,23,8,21,32,31,28,21,32,37,55
TRINITY_DN12676_c0_g1,5,2,5,2,3,3,1,1,1,4,0,2,5,1,3,2,4,0,2,2,3,6,1
TRINITY_DN12677_c0_g1,4,5,4,0,5,5,2,1,0,8,5,3,7,5,1,0,2,4,0,0,5,7,3
TRINITY_DN12678_c0_g1,7,5,4,2,0,1,0,1,0,2,2,1,4,1,2,1,2,2,2,2,2,1,9
TRINITY_DN12679_c0_g1,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,5,0,0,2,0,0,1,3
TRINITY_DN12680_c0_g1,4,3,2,4,6,5,7,1,2,3,2,0,2,3,0,3,1,2,6,5,2,3,2
TRINITY_DN12681_c0_g1,9,21,17,16,6,8,6,10,6,17,7,3,19,16,4,8,12,13,17,3,13,16,14
TRINITY_DN12682_c0_g1,8,3,1,4,3,0,1,1,3,9,0,3,8,8,2,1,2,4,8,3,1,2,7
TRINITY_DN12683_c0_g1,18,91,36,86,83,26,19,205,92,168,15,4,211,6,0,41,28,82,113,4,255,268,0
TRINITY_DN12684_c0_g1,327,359,381,176,142,230,100,213,219,606,162,113,323,379,235,393,246,337,334,154,439,488,357
TRINITY_DN12685_c0_g1,2,5,4,5,1,1,4,3,1,10,0,1,0,2,2,3,4,0,2,1,4,2,0
TRINITY_DN12686_c0_g1,4,6,8,5,5,7,2,8,3,18,1,4,3,1,7,3,6,1,2,2,3,6,17
TRINITY_DN12687_c0_g1,26,23,24,30,25,32,32,17,17,37,14,14,19,25,3,17,19,19,27,4,16,34,18
TRINITY_DN12688_c0_g1,18,9,10,5,3,8,10,4,2,24,5,11,3,15,16,18,3,7,9,12,12,19,33
TRINITY_DN12689_c0_g1,40,28,38,20,29,34,18,22,21,63,15,33,69,29,24,81,65,25,30,29,21,49,20
TRINITY_DN12690_c0_g1,1,1,4,1,5,1,0,1,2,6,2,0,2,2,0,0,1,1,3,1,0,2,1
TRINITY_DN12691_c0_g1,2,12,3,0,0,3,1,4,4,7,7,6,4,3,3,1,3,6,0,8,7,4,2
TRINITY_DN12692_c0_g1,0,0,0,0,0,0,0,30,0,94,46,58,155,0,0,0,5,174,0,0,0,0,0
TRINITY_DN12693_c0_g1,17,21,17,5,8,8,6,7,12,12,11,7,21,7,6,8,16,15,4,4,6,17,10
TRINITY_DN12694_c0_g1,6,6,2,4,3,0,1,6,2,5,2,0,5,0,1,5,1,2,3,3,3,1,4
TRINITY_DN12695_c0_g1,54,74,36,52,45,21,30,41,37,82,31,17,69,58,11,45,56,32,60,26,58,54,72
TRINITY_DN12696_c0_g1,13,13,2,13,5,4,2,14,11,20,3,6,18,6,2,13,8,14,8,8,15,15,9
TRINITY_DN12697_c0_g1,4,13,8,4,2,7,2,3,1,22,11,3,15,4,1,6,1,13,9,4,17,13,7
TRINITY_DN12698_c0_g1,96,71,73,18,29,29,20,42,50,111,68,39,36,52,60,90,44,83,53,113,75,74,104
TRINITY_DN12699_c0_g1,1,9,2,5,0,4,3,2,5,4,0,1,5,1,0,0,2,1,5,0,6,5,1
TRINITY_DN12700_c0_g1,34,42,22,25,23,15,16,21,44,100,40,9,44,21,9,30,27,28,41,14,68,36,33
TRINITY_DN12701_c0_g1,2,5,4,7,3,1,4,3,1,5,3,2,3,3,0,0,4,0,1,0,4,1,2
TRINITY_DN12702_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,1,0,0,0
TRINITY_DN12703_c0_g1,0,0,0,0,0,0,0,0,0,9,9,6,11,0,0,0,0,49,0,0,0,0,0
TRINITY_DN12704_c0_g1,2,3,5,0,1,2,2,7,4,8,6,3,2,5,3,0,7,4,6,5,18,10,7
TRINITY_DN12705_c0_g1,5,12,11,3,6,10,4,2,3,11,9,9,6,30,8,4,7,8,5,18,6,9,15
TRINITY_DN12706_c0_g1,14,16,10,19,13,21,6,33,18,30,8,8,14,10,1,12,14,10,15,1,16,17,1
TRINITY_DN12707_c0_g1,19,12,35,13,8,16,10,8,7,14,0,5,7,11,1,13,22,9,17,3,3,10,14
TRINITY_DN12708_c0_g1,38,87,48,47,50,46,36,62,35,84,12,17,79,27,13,35,43,60,56,17,40,71,38
TRINITY_DN12709_c0_g1,8,7,10,3,2,2,0,6,6,9,0,3,14,3,4,10,3,8,7,1,20,12,7
TRINITY_DN12710_c0_g1,26,54,22,7,13,17,10,34,7,34,7,7,32,16,5,15,8,16,19,2,15,28,32
TRINITY_DN12711_c0_g1,19,20,24,7,13,18,6,23,16,19,4,11,24,24,1,14,18,10,24,4,13,20,4
TRINITY_DN12712_c0_g1,6,4,9,5,8,7,3,5,2,3,1,5,3,10,7,1,4,9,4,6,9,6,17
TRINITY_DN12713_c0_g1,9,16,10,6,4,4,5,7,2,25,6,2,13,11,2,6,6,8,4,2,3,9,23
TRINITY_DN12714_c0_g1,5,22,9,18,7,14,6,13,19,16,7,2,25,8,7,13,14,11,17,4,12,20,10
TRINITY_DN12715_c0_g1,1,14,6,13,6,10,10,7,6,7,3,14,12,15,3,9,10,8,11,14,0,2,1
TRINITY_DN12716_c0_g1,1,4,10,2,2,3,6,1,5,2,2,2,5,9,2,11,4,5,2,1,11,3,1
TRINITY_DN12717_c0_g1,2,0,3,1,0,1,0,2,1,0,0,0,2,0,3,0,1,0,14,0,0,0,4
TRINITY_DN12718_c0_g1,4,8,0,2,2,3,2,4,0,0,0,0,6,3,2,1,1,1,5,0,2,5,3
TRINITY_DN12719_c0_g1,16,10,14,12,11,5,1,21,28,23,8,8,28,6,4,5,13,7,6,4,26,11,10
TRINITY_DN1271_c0_g1,39,65,62,9,14,23,8,33,25,75,28,28,28,39,48,42,36,45,30,32,98,67,68
TRINITY_DN12720_c0_g1,6,10,23,6,9,5,7,8,11,15,1,3,11,13,1,10,15,6,4,5,3,12,16
TRINITY_DN12722_c0_g1,13,4,1,3,3,2,0,0,2,15,7,3,16,2,4,5,8,5,16,4,9,12,9
TRINITY_DN12723_c0_g1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3
TRINITY_DN12724_c0_g1,7,5,9,1,3,15,7,0,1,3,1,1,9,12,9,5,11,9,1,4,5,8,21
TRINITY_DN12725_c0_g1,1,6,2,4,3,2,1,12,2,5,1,2,7,1,2,4,1,5,3,1,2,5,6
TRINITY_DN12726_c0_g1,6,3,2,6,1,2,1,2,1,5,2,2,4,2,4,0,2,5,5,5,5,9,23
TRINITY_DN12727_c0_g1,32,39,31,32,25,18,24,24,10,40,5,4,31,10,6,28,23,19,15,6,24,46,23
TRINITY_DN12728_c0_g1,3,6,8,2,4,6,4,1,1,2,1,1,5,4,2,1,2,3,2,2,3,4,0
TRINITY_DN1272_c0_g1,3,2,1,3,2,2,2,7,0,1,0,0,3,1,0,3,4,4,3,1,5,4,1
TRINITY_DN12730_c0_g1,10,6,6,6,4,8,4,20,9,14,4,4,17,12,11,9,15,6,5,8,7,10,10
TRINITY_DN12731_c0_g1,6,4,2,0,0,1,1,5,2,4,3,3,3,0,0,6,3,6,2,4,3,3,2
TRINITY_DN12732_c0_g1,5,8,10,9,9,4,19,8,5,13,4,4,8,5,0,3,6,6,6,4,9,6,3
TRINITY_DN12733_c0_g1,13,8,7,5,10,3,4,4,7,15,4,7,10,7,3,7,5,2,5,2,4,8,6
TRINITY_DN12734_c0_g1,0,10,8,2,3,4,0,1,0,6,2,4,14,6,1,0,0,1,0,6,1,0,11
TRINITY_DN12735_c0_g1,6,15,14,7,5,9,5,3,10,4,0,2,10,21,1,4,14,6,6,1,7,2,1
TRINITY_DN12736_c0_g1,1,1,5,2,0,0,3,2,1,2,0,1,2,2,0,2,8,2,1,1,1,2,4
TRINITY_DN12737_c0_g1,10,9,5,3,0,4,1,4,2,14,2,1,9,4,2,2,7,6,3,4,5,3,5
TRINITY_DN12738_c0_g1,41,79,39,23,31,20,12,38,17,63,41,26,41,24,20,26,28,62,34,53,47,40,39
TRINITY_DN12739_c0_g1,270,78,36,86,33,26,53,236,52,280,88,61,595,16,89,380,115,1049,121,233,199,101,51
TRINITY_DN12740_c0_g1,10,21,2,1,1,2,2,9,13,25,6,3,10,2,6,6,10,10,6,10,18,10,3
TRINITY_DN12741_c0_g1,2,7,2,1,1,0,2,2,5,9,3,4,1,2,0,2,4,1,4,7,4,1,6
TRINITY_DN12742_c0_g1,0,5,0,0,1,0,0,5,2,20,6,4,1,4,0,15,0,4,2,0,0,0,5
TRINITY_DN12743_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TRINITY_DN12744_c0_g1,220,129,360,171,133,150,147,137,118,241,54,75,269,309,108,155,216,129,201,55,156,210,207
TRINITY_DN12745_c0_g1,7,32,19,12,3,1,3,28,17,57,22,3,32,2,0,14,2,47,18,3,146,92,4
TRINITY_DN12746_c0_g1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,141
TRINITY_DN12747_c0_g1,6,8,3,6,6,9,6,6,11,20,4,4,13,4,4,5,8,2,14,4,9,7,4
TRINITY_DN12748_c0_g1,0,7,7,3,10,5,0,4,2,12,7,1,6,2,0,4,0,10,3,0,7,10,1
TRINITY_DN12749_c0_g1,0,1,1,2,1,1,0,1,1,2,1,2,1,0,0,0,0,1,2,0,0,1,0
TRINITY_DN1274_c0_g1,6,10,14,9,10,3,0,7,8,24,19,5,9,3,0,3,3,7,5,3,23,7,2
TRINITY_DN12750_c0_g1,3,3,5,3,3,2,1,4,2,6,2,3,7,7,1,6,4,6,2,0,6,2,4
TRINITY_DN12751_c0_g1,4,8,11,1,2,1,1,3,0,11,5,11,1,3,5,7,5,14,6,3,12,8,13
TRINITY_DN12752_c0_g1,26,27,23,6,3,16,10,27,10,46,15,7,11,25,5,20,18,37,8,2,19,28,24
TRINITY_DN12753_c0_g1,242,254,351,155,166,199,92,239,208,406,84,96,306,280,126,226,190,155,220,77,286,417,171
TRINITY_DN12754_c0_g1,4,9,10,0,1,2,3,4,0,13,3,4,7,7,2,10,1,6,5,2,1,2,6
TRINITY_DN12755_c0_g1,0,0,0,46,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
TRINITY_DN12756_c0_g1,10,15,17,14,14,8,9,15,6,20,7,2,27,4,3,8,10,22,15,5,13,19,8
TRINITY_DN12757_c0_g1,0,2,5,0,3,5,1,4,2,4,1,1,8,4,1,4,4,1,3,0,2,4,3
TRINITY_DN12758_c0_g1,4,2,5,0,5,3,2,5,1,13,6,3,4,4,10,6,0,3,2,1,5,3,8
TRINITY_DN12759_c0_g1,2,2,3,1,1,0,0,4,3,0,1,0,1,4,1,4,1,4,2,1,3,4,2
TRINITY_DN1275_c0_g1,0,13,26,5,4,25,8,10,7,40,33,45,9,61,0,0,32,21,0,77,0,0,0
TRINITY_DN12760_c0_g1,34,49,58,26,53,49,42,34,30,56,34,20,44,34,11,65,57,28,27,25,38,55,25
TRINITY_DN12761_c0_g1,11,31,32,15,11,8,14,31,8,32,1,2,23,1,3,18,14,15,8,8,31,34,13
TRINITY_DN12762_c0_g1,0,2,2,1,1,2,2,11,3,4,2,0,2,0,1,2,0,9,7,3,5,7,2
